Comoros,COM,-1.13,0.39,1.00,12.50,2.72,28.80,-1.12,0.44,1.00,14.67,3.26,34.78,-1.14,0.42,1.00,14.67,3.26,30.43,-0.99,0.37,1.00,17.84,4.86,40.00,-1.27,0.28,1.00,9.73,2.16,21.08,-1.41,0.23,3.00,6.97,2.49,15.92,-1.55,0.17,4.00,4.41,1.47,9.80,-1.48,0.20,4.00,5.39,2.45,11.76,-1.44,0.20,4.00,6.31,2.43,15.05,-1.46,0.19,5.00,4.37,2.43,11.65,-1.54,0.20,5.00,4.78,2.39,9.57,-1.40,0.19,5.00,6.22,2.87,13.88,-1.36,0.20,5.00,7.58,2.84,15.17,-1.39,0.23,5.00,7.58,2.37,17.06,-1.22,0.24,5.00,9.95,2.84,23.22,-1.12,0.23,5.00,11.54,4.33,25.48,-1.09,0.21,5.00,12.38,5.71,26.19,-1.10,0.21,6.00,11.90,5.71,23.81,-1.10,0.22,6.00,11.43,6.19,24.29,-1.19,0.21,6.00,9.52,4.76,18.10,-1.20,0.21,6.00,9.52,4.76,16.67,-1.26,0.22,5.00,10.00,4.29,16.19,-1.27,0.21,5.00,9.05,4.76,16.67,-1.20,0.22,5.00,10.85,4.72,20.28
Cape Verde,CPV,-0.53,0.71,1.00,27.17,3.80,69.57,-0.45,0.67,1.00,29.89,6.52,70.65,-0.02,0.63,1.00,53.80,14.67,81.52,-0.26,0.34,2.00,44.32,21.08,62.16,-0.28,0.26,2.00,47.57,24.32,57.84,-0.46,0.23,4.00,35.32,20.40,51.24,-0.37,0.17,5.00,43.14,25.49,51.47,-0.29,0.18,6.00,45.10,28.92,54.41,-0.33,0.18,6.00,41.75,26.21,51.94,-0.19,0.18,6.00,50.00,35.92,54.85,-0.06,0.19,6.00,52.15,39.23,59.81,-0.15,0.18,7.00,48.33,35.89,54.55,0.00,0.18,7.00,53.55,41.71,60.66,0.02,0.21,7.00,53.08,41.23,63.03,-0.12,0.21,7.00,47.87,35.07,58.77,-0.24,0.20,7.00,46.15,31.73,54.81,-0.16,0.23,6.00,47.62,32.86,60.95,-0.19,0.24,6.00,46.19,28.57,61.43,-0.07,0.24,6.00,49.52,33.33,64.76,-0.04,0.25,6.00,50.95,35.24,64.29,-0.02,0.25,6.00,51.43,35.24,64.29,0.16,0.27,6.00,57.62,41.43,71.90,0.27,0.25,6.00,60.48,46.19,71.90,0.26,0.25,6.00,60.85,45.75,73.11
Costa Rica,CRI,0.55,0.29,5.00,69.02,58.15,78.26,0.92,0.33,4.00,78.26,64.67,92.39,0.70,0.26,5.00,71.74,62.50,84.78,0.44,0.22,6.00,64.32,57.30,72.43,0.62,0.19,6.00,67.57,61.62,76.76,0.55,0.20,7.00,67.66,61.19,77.61,0.59,0.17,7.00,67.16,60.29,75.00,0.38,0.20,7.00,62.75,54.41,71.57,0.45,0.21,7.00,65.53,57.28,73.79,0.57,0.21,7.00,66.50,58.25,78.16,0.52,0.20,7.00,67.94,57.42,74.64,0.59,0.20,7.00,68.90,59.81,77.51,0.60,0.22,6.00,70.14,58.29,77.73,0.74,0.23,7.00,73.93,63.51,82.46,0.75,0.22,7.00,73.93,64.45,83.41,0.66,0.22,8.00,71.63,63.46,80.77,0.66,0.21,8.00,72.38,64.29,80.00,0.53,0.21,8.00,68.57,60.00,78.57,0.43,0.21,8.00,69.05,58.57,75.71,0.48,0.21,8.00,68.57,60.95,77.14,0.54,0.20,8.00,70.95,60.95,75.71,0.48,0.22,7.00,67.62,57.14,75.24,0.44,0.22,7.00,67.14,55.71,73.81,0.57,0.23,7.00,71.23,58.96,77.36
Cuba,CUB,-1.10,0.31,4.00,13.59,4.89,25.54,-1.32,0.33,4.00,9.78,3.26,22.28,-1.22,0.31,4.00,11.41,4.89,22.28,-1.30,0.23,5.00,8.65,3.24,18.92,-1.46,0.20,5.00,5.41,1.62,13.51,-1.60,0.20,6.00,3.98,1.49,8.46,-1.32,0.17,6.00,8.82,3.43,15.69,-1.43,0.20,7.00,6.37,2.45,14.71,-1.56,0.21,7.00,4.37,2.43,9.71,-1.50,0.22,6.00,3.88,2.43,13.11,-1.60,0.21,6.00,3.83,2.39,7.18,-1.67,0.21,6.00,3.35,1.91,6.70,-1.63,0.21,6.00,3.32,1.90,8.53,-1.56,0.22,7.00,4.27,1.42,9.95,-1.58,0.21,7.00,3.32,1.42,9.48,-1.32,0.22,7.00,7.69,3.37,16.35,-1.25,0.22,7.00,8.10,4.29,20.00,-1.36,0.23,7.00,6.67,2.86,13.81,-1.35,0.22,7.00,8.10,3.33,14.29,-1.48,0.22,7.00,6.19,2.86,10.95,-1.51,0.22,7.00,5.71,2.86,9.52,-1.53,0.24,6.00,5.24,2.86,10.48,-1.45,0.25,5.00,6.19,2.86,12.86,-1.38,0.25,5.00,7.08,3.77,16.51
Cayman Islands,CYM,1.03,0.39,1.00,80.98,64.67,96.20,1.01,0.44,1.00,82.07,61.41,96.74,1.22,0.42,1.00,87.50,67.39,98.91,1.42,0.37,1.00,90.81,72.43,100.00,1.41,0.28,1.00,90.27,77.30,99.46,1.46,0.32,1.00,90.55,78.61,100.00,1.36,0.21,1.00,90.69,78.43,99.02,1.35,0.31,1.00,91.18,73.53,99.51,1.38,0.37,1.00,90.78,73.79,99.51,1.15,0.38,1.00,84.47,66.02,96.60,1.16,0.33,2.00,84.21,70.33,97.13,1.16,0.35,2.00,83.73,68.42,97.61,1.14,0.36,2.00,83.89,69.19,95.73,1.10,0.34,2.00,81.99,68.25,95.26,1.11,0.33,2.00,83.41,67.77,94.79,0.85,0.35,2.00,76.92,61.54,90.38,0.80,0.34,2.00,76.19,62.38,90.00,0.77,0.36,2.00,75.71,60.48,90.00,0.74,0.35,2.00,75.71,60.95,88.57,0.97,0.37,2.00,80.95,64.29,91.90,0.97,0.36,2.00,78.57,64.29,92.38,1.05,0.38,2.00,82.38,64.29,94.76,1.05,0.38,2.00,82.38,66.19,95.24,1.09,0.36,2.00,83.49,67.92,95.75
Cyprus,CYP,1.26,0.31,4.00,86.96,72.28,97.28,1.16,0.33,4.00,85.87,70.11,96.20,1.09,0.31,4.00,83.15,69.02,94.02,1.19,0.26,4.00,84.32,72.43,94.59,1.18,0.22,4.00,85.41,72.43,91.35,1.22,0.22,5.00,86.07,77.11,93.53,1.22,0.18,5.00,84.31,76.47,91.67,1.28,0.23,5.00,87.25,75.98,96.08,1.33,0.25,5.00,88.35,77.67,97.09,1.37,0.26,5.00,88.35,78.16,97.57,1.36,0.23,6.00,88.52,78.47,97.13,1.42,0.25,6.00,90.91,80.86,98.56,1.23,0.25,6.00,86.26,75.83,94.79,1.12,0.26,6.00,83.89,73.46,93.36,0.91,0.26,6.00,78.20,67.30,89.10,1.09,0.23,7.00,82.69,73.08,90.87,1.05,0.23,7.00,80.48,72.38,91.43,1.04,0.24,7.00,81.90,71.43,91.43,1.02,0.24,7.00,80.95,71.90,90.00,0.86,0.24,7.00,78.10,68.10,86.67,1.00,0.24,7.00,80.00,72.38,90.48,0.99,0.26,6.00,80.95,71.90,90.95,0.85,0.23,7.00,76.67,67.14,85.24,0.77,0.23,7.00,75.47,63.68,83.96
Czech Republic,CZE,1.07,0.27,7.00,82.07,69.57,92.39,0.92,0.25,7.00,77.72,66.30,90.22,0.74,0.22,8.00,74.46,65.22,84.24,1.11,0.20,9.00,83.24,72.43,90.81,1.14,0.17,9.00,82.16,72.97,90.27,1.00,0.18,9.00,79.10,71.14,87.06,1.11,0.16,9.00,80.39,72.55,90.69,1.11,0.18,10.00,83.33,73.04,91.18,1.05,0.19,10.00,82.04,72.33,88.35,1.22,0.19,10.00,86.41,78.16,93.20,1.31,0.19,9.00,87.08,79.43,94.74,1.30,0.20,9.00,86.12,79.43,94.74,1.20,0.19,10.00,85.31,77.25,92.42,1.05,0.20,10.00,80.57,73.46,90.05,1.08,0.20,10.00,81.04,73.93,90.05,1.00,0.21,10.00,80.77,72.12,89.42,1.08,0.20,10.00,81.43,74.76,91.43,0.97,0.20,9.00,80.95,71.43,87.62,1.22,0.20,9.00,86.19,79.05,91.43,1.27,0.20,9.00,87.14,80.48,91.90,1.24,0.20,9.00,86.67,76.19,92.38,1.23,0.21,8.00,86.67,76.19,92.86,1.34,0.21,8.00,87.62,81.43,95.24,1.39,0.21,8.00,88.68,82.08,96.70
Germany,DEU,1.48,0.28,6.00,90.76,80.98,98.91,1.23,0.27,6.00,88.04,73.37,96.20,1.46,0.23,6.00,90.76,82.07,98.37,1.51,0.23,6.00,91.89,83.24,99.46,1.50,0.20,6.00,90.81,84.86,99.46,1.47,0.21,6.00,91.04,81.09,99.50,1.52,0.17,6.00,92.16,84.31,100.00,1.57,0.21,7.00,94.12,85.78,99.51,1.62,0.22,7.00,94.66,86.41,99.51,1.49,0.23,7.00,92.23,82.52,98.06,1.52,0.22,7.00,93.78,82.78,100.00,1.57,0.24,7.00,93.78,84.21,100.00,1.55,0.22,8.00,92.89,84.83,99.53,1.53,0.23,8.00,91.94,85.31,98.58,1.54,0.22,8.00,92.42,86.26,99.05,1.70,0.23,8.00,94.23,89.42,99.52,1.71,0.22,8.00,94.29,90.00,99.05,1.81,0.23,8.00,96.67,91.43,100.00,1.77,0.22,8.00,95.24,90.00,99.52,1.76,0.22,8.00,95.24,90.00,99.05,1.71,0.22,8.00,96.19,89.52,99.52,1.58,0.23,7.00,93.33,85.24,99.52,1.63,0.23,7.00,94.76,85.71,99.52,1.52,0.23,7.00,92.45,83.49,99.53
Djibouti,DJI,-1.00,0.36,2.00,16.30,4.89,33.70,-0.89,0.39,2.00,18.48,6.52,41.30,-0.71,0.37,2.00,22.83,9.78,50.54,-0.67,0.34,2.00,27.03,10.81,50.27,-0.73,0.26,2.00,23.24,12.97,45.41,-0.74,0.23,4.00,21.89,13.43,41.29,-0.85,0.17,5.00,21.57,12.75,30.39,-0.84,0.19,5.00,21.57,12.25,31.86,-0.78,0.19,5.00,22.33,15.53,34.47,-0.72,0.19,5.00,24.27,16.99,38.35,-0.66,0.19,6.00,26.79,17.70,39.23,-0.68,0.18,6.00,26.79,18.66,38.76,-0.59,0.19,6.00,30.81,21.33,41.71,-0.46,0.21,6.00,35.07,24.17,49.29,-0.54,0.21,6.00,31.75,21.80,45.02,-0.58,0.21,6.00,31.73,17.79,46.63,-0.75,0.19,6.00,26.19,12.38,35.71,-0.75,0.20,6.00,24.29,12.38,37.14,-0.69,0.20,6.00,27.62,12.86,39.05,-0.74,0.18,7.00,24.29,11.90,35.24,-0.82,0.18,7.00,19.05,10.00,32.86,-0.86,0.19,7.00,18.57,10.48,31.90,-0.89,0.18,7.00,19.05,9.52,31.90,-0.90,0.19,7.00,18.87,9.91,29.72
Dominica,DMA,1.03,0.39,1.00,80.98,64.67,96.20,1.01,0.44,1.00,82.07,61.41,96.74,0.99,0.42,1.00,81.52,63.59,94.02,0.94,0.37,1.00,78.38,63.24,92.97,0.93,0.28,1.00,76.76,65.95,88.65,0.75,0.30,2.00,72.64,62.19,86.57,0.80,0.20,3.00,71.57,64.22,83.33,0.91,0.27,3.00,76.96,65.20,88.73,0.72,0.29,3.00,72.33,58.25,85.44,0.48,0.25,3.00,66.02,53.88,78.16,0.50,0.26,3.00,66.51,54.55,77.51,0.35,0.25,3.00,63.64,51.67,75.12,0.23,0.26,3.00,58.29,46.45,73.46,0.30,0.28,3.00,60.66,46.45,74.41,0.29,0.29,3.00,61.61,45.97,73.93,0.28,0.30,3.00,63.46,47.60,75.96,0.24,0.25,4.00,62.38,47.14,71.43,0.18,0.26,4.00,60.48,43.81,70.95,0.15,0.26,4.00,60.48,40.95,71.43,0.13,0.26,4.00,60.48,39.52,70.48,0.15,0.27,4.00,60.95,42.86,71.90,0.27,0.29,4.00,60.95,43.81,73.33,0.29,0.28,4.00,61.43,46.19,73.33,0.34,0.29,4.00,62.74,47.64,75.94
Denmark,DNK,1.78,0.28,6.00,97.83,89.13,100.00,1.71,0.27,6.00,96.74,89.13,100.00,1.71,0.23,6.00,95.65,89.13,100.00,1.71,0.23,6.00,96.76,88.65,100.00,1.73,0.20,6.00,97.84,88.65,100.00,1.75,0.21,6.00,97.01,88.56,100.00,1.65,0.17,6.00,98.04,90.69,100.00,1.80,0.22,6.00,98.53,92.16,100.00,1.93,0.23,6.00,99.51,92.72,100.00,1.87,0.24,6.00,99.03,91.75,100.00,1.88,0.22,7.00,100.00,92.82,100.00,1.87,0.24,7.00,99.52,92.34,100.00,1.90,0.23,7.00,99.53,92.42,100.00,1.80,0.23,8.00,97.63,91.00,100.00,1.80,0.22,8.00,97.63,90.52,100.00,1.68,0.23,8.00,93.75,89.42,99.52,1.72,0.22,8.00,94.76,90.48,99.05,1.56,0.23,8.00,92.38,84.76,98.10,1.61,0.22,8.00,92.38,86.67,98.10,1.63,0.22,8.00,93.81,86.67,98.10,1.55,0.22,8.00,92.38,83.81,99.05,1.79,0.23,7.00,97.62,90.95,99.52,1.80,0.23,7.00,97.62,90.00,99.52,1.84,0.23,7.00,98.58,91.51,100.00
Dominican Republic,DOM,-0.23,0.31,4.00,45.65,23.37,62.50,-0.07,0.33,4.00,50.00,26.09,65.22,-0.12,0.31,4.00,49.46,26.09,65.22,-0.26,0.22,6.00,44.86,29.19,57.30,-0.39,0.19,6.00,41.62,24.32,52.97,-0.45,0.20,7.00,36.32,20.90,48.76,-0.39,0.17,7.00,42.16,25.00,51.47,-0.23,0.20,8.00,49.02,29.90,54.90,-0.22,0.21,8.00,49.51,30.10,57.28,-0.16,0.20,8.00,50.97,35.44,57.28,-0.16,0.19,8.00,48.80,34.45,55.98,-0.12,0.19,8.00,50.72,36.36,56.46,-0.17,0.18,9.00,48.34,33.18,55.92,-0.06,0.20,9.00,51.18,37.91,60.19,-0.02,0.20,9.00,53.08,40.28,62.09,0.03,0.22,8.00,53.37,41.83,65.38,0.01,0.20,9.00,52.38,43.81,64.29,-0.01,0.21,9.00,52.86,40.00,65.24,-0.04,0.20,9.00,52.38,38.57,64.29,-0.03,0.20,9.00,51.90,38.57,62.86,-0.02,0.20,9.00,52.86,39.52,63.33,0.02,0.21,8.00,54.29,39.52,63.81,0.08,0.22,7.00,56.19,42.86,67.14,0.07,0.23,7.00,54.25,40.57,66.04
Algeria,DZA,-0.91,0.31,4.00,20.11,7.07,36.41,-0.88,0.33,4.00,19.02,8.70,35.87,-0.71,0.31,4.00,23.37,11.41,41.30,-0.57,0.23,5.00,32.97,18.38,45.41,-0.48,0.19,6.00,36.22,21.08,49.19,-0.44,0.20,7.00,36.82,20.90,48.76,-0.34,0.17,7.00,43.63,27.94,51.47,-0.50,0.20,8.00,33.33,21.57,50.00,-0.52,0.21,8.00,31.55,19.90,50.00,-0.62,0.21,7.00,29.13,17.48,46.60,-0.96,0.20,7.00,18.18,6.22,28.23,-1.10,0.20,7.00,13.88,5.74,23.44,-1.21,0.20,7.00,9.48,3.79,21.80,-1.32,0.23,7.00,9.00,2.37,19.43,-1.14,0.22,7.00,12.32,5.21,24.17,-1.30,0.23,7.00,8.17,3.85,17.31,-1.26,0.22,7.00,7.62,4.29,19.52,-1.24,0.23,7.00,9.52,4.29,20.00,-1.28,0.22,7.00,9.05,3.33,16.19,-1.35,0.22,7.00,8.10,3.33,13.81,-1.39,0.22,7.00,7.14,3.33,11.90,-1.36,0.25,5.00,8.57,3.81,14.76,-1.18,0.22,6.00,10.00,4.76,21.90,-1.06,0.23,6.00,14.15,6.13,25.94
Ecuador,ECU,-0.31,0.31,4.00,40.76,22.83,61.96,-0.06,0.33,4.00,50.54,26.63,65.22,-0.45,0.26,5.00,30.98,17.39,52.17,-0.73,0.22,6.00,25.41,13.51,40.54,-0.72,0.19,6.00,24.32,16.76,38.92,-0.70,0.20,7.00,23.88,15.92,40.80,-0.78,0.17,7.00,23.53,15.69,34.31,-1.10,0.20,7.00,14.71,6.37,22.55,-1.14,0.21,7.00,12.62,4.85,21.84,-1.13,0.21,7.00,14.08,3.88,21.84,-1.26,0.19,8.00,7.66,3.83,18.18,-1.12,0.19,8.00,11.96,5.74,22.49,-0.96,0.19,8.00,19.43,8.53,28.44,-0.94,0.20,9.00,20.38,9.00,29.38,-0.84,0.20,9.00,23.22,10.90,33.65,-0.92,0.21,8.00,17.79,8.17,31.25,-1.14,0.20,9.00,11.90,5.24,23.81,-0.96,0.21,9.00,16.19,7.62,28.10,-1.02,0.20,9.00,13.33,8.10,27.14,-0.89,0.20,9.00,16.19,9.05,30.00,-0.80,0.20,9.00,20.00,10.00,33.81,-0.87,0.21,8.00,18.10,10.48,32.38,-0.72,0.22,7.00,25.71,12.38,39.52,-0.46,0.23,7.00,35.38,20.28,48.58
"Egypt, Arab Rep.",EGY,-0.05,0.29,5.00,53.26,27.72,64.67,-0.17,0.30,5.00,44.57,25.00,61.96,-0.30,0.26,5.00,39.13,21.74,58.15,-0.46,0.22,6.00,37.84,21.08,50.81,-0.57,0.19,6.00,32.43,18.92,48.11,-0.57,0.20,7.00,29.35,18.91,45.77,-0.45,0.17,7.00,37.75,24.51,50.49,-0.41,0.20,8.00,38.24,22.55,51.96,-0.32,0.21,8.00,42.72,25.24,53.40,-0.20,0.20,8.00,49.51,32.52,56.31,-0.18,0.19,8.00,48.33,33.49,55.98,-0.15,0.19,8.00,47.85,34.45,56.46,-0.25,0.19,8.00,43.13,32.23,54.03,-0.39,0.18,10.00,38.86,27.49,50.24,-0.56,0.18,10.00,31.28,22.75,44.55,-0.69,0.19,10.00,28.37,16.35,38.46,-0.80,0.19,10.00,24.76,11.90,34.76,-0.89,0.20,9.00,17.62,9.52,29.52,-0.81,0.20,9.00,21.90,10.48,32.86,-0.80,0.20,9.00,20.48,10.48,33.81,-0.76,0.20,9.00,21.90,10.95,35.24,-0.57,0.21,8.00,31.43,14.76,43.33,-0.52,0.20,8.00,34.29,19.05,46.19,-0.71,0.21,8.00,24.53,14.62,39.15
Eritrea,ERI,-1.13,0.39,1.00,12.50,2.72,28.80,-1.12,0.44,1.00,14.67,3.26,34.78,-1.14,0.42,1.00,14.67,3.26,30.43,-1.21,0.30,2.00,11.89,2.70,25.41,-1.51,0.24,2.00,4.32,1.08,14.05,-1.59,0.21,4.00,4.48,1.49,8.96,-1.71,0.16,5.00,2.45,1.47,6.86,-2.02,0.18,6.00,1.96,0.00,2.45,-2.02,0.17,6.00,1.94,0.00,2.43,-2.08,0.16,7.00,1.46,0.00,2.43,-2.21,0.17,7.00,1.44,0.00,2.39,-2.16,0.16,7.00,1.44,0.00,2.39,-2.16,0.17,7.00,0.95,0.00,1.90,-2.20,0.19,7.00,0.95,0.00,1.42,-2.23,0.19,7.00,0.47,0.00,1.42,-2.09,0.20,6.00,1.44,0.00,2.40,-2.07,0.18,7.00,1.90,0.00,2.38,-2.11,0.18,8.00,1.90,0.00,2.38,-2.18,0.18,8.00,0.95,0.00,2.86,-2.19,0.18,8.00,1.43,0.00,2.86,-2.19,0.18,8.00,1.43,0.00,2.86,-2.16,0.19,7.00,1.43,0.00,3.81,-2.28,0.18,7.00,0.48,0.00,2.38,-2.37,0.19,7.00,0.47,0.00,1.89
Spain,ESP,1.18,0.28,6.00,84.24,72.28,95.65,1.20,0.27,6.00,87.50,72.28,96.20,1.24,0.23,6.00,88.04,77.72,94.02,1.33,0.23,6.00,88.65,78.92,95.68,1.30,0.20,6.00,87.57,77.30,94.05,1.31,0.21,6.00,87.56,78.61,95.02,1.30,0.17,6.00,88.24,78.43,93.63,1.18,0.21,7.00,84.80,73.04,92.65,1.22,0.22,7.00,86.41,74.27,93.69,1.25,0.23,7.00,86.89,75.24,94.66,1.19,0.22,7.00,84.69,74.16,94.26,1.16,0.24,7.00,84.21,75.12,93.30,1.06,0.22,8.00,81.04,74.41,91.00,0.95,0.23,8.00,78.20,69.19,87.68,0.93,0.22,8.00,79.15,68.25,88.15,0.75,0.23,8.00,74.52,65.38,82.69,0.79,0.22,8.00,75.71,66.19,83.81,1.00,0.23,8.00,81.43,70.95,90.00,0.93,0.22,8.00,79.52,71.43,88.10,0.94,0.22,8.00,80.48,70.95,88.10,1.04,0.22,8.00,81.90,73.81,90.48,0.76,0.23,7.00,73.81,63.33,83.33,0.80,0.23,7.00,73.81,65.24,84.29,0.80,0.23,7.00,75.94,64.62,84.91
Estonia,EST,1.24,0.31,4.00,85.87,72.28,96.74,1.20,0.29,5.00,86.96,72.28,96.20,1.27,0.24,7.00,89.13,77.72,94.02,1.26,0.20,9.00,87.03,76.22,94.05,1.17,0.17,9.00,84.86,73.51,90.27,1.23,0.18,9.00,86.57,78.61,91.54,1.25,0.16,9.00,85.78,77.94,91.67,1.29,0.18,10.00,88.24,79.41,94.12,1.32,0.19,10.00,87.38,81.07,94.66,1.39,0.19,10.00,89.32,81.55,96.12,1.39,0.18,10.00,89.47,82.78,95.69,1.39,0.18,10.00,88.52,81.34,95.69,1.39,0.17,11.00,91.00,81.52,95.26,1.41,0.18,11.00,91.00,81.99,95.73,1.44,0.18,11.00,91.00,84.36,95.26,1.67,0.19,11.00,93.27,89.42,99.04,1.66,0.19,11.00,93.33,90.00,99.05,1.69,0.19,10.00,93.33,90.00,98.57,1.63,0.20,9.00,93.33,88.57,98.10,1.54,0.20,9.00,91.90,85.71,97.62,1.58,0.20,9.00,92.86,86.67,99.05,1.53,0.21,8.00,92.86,84.76,99.05,1.55,0.21,8.00,92.86,84.76,98.57,1.56,0.21,8.00,92.92,86.32,99.53
Ethiopia,ETH,-1.30,0.31,4.00,9.78,2.17,22.83,-1.27,0.33,4.00,11.41,3.26,22.83,-1.32,0.31,4.00,10.33,3.26,20.65,-1.23,0.23,5.00,10.27,4.32,21.08,-1.16,0.19,6.00,13.51,4.32,20.54,-0.99,0.17,8.00,17.41,8.46,23.38,-1.12,0.15,9.00,13.73,7.35,20.59,-1.03,0.16,10.00,15.69,8.33,22.06,-0.98,0.16,10.00,17.48,9.22,22.33,-0.90,0.16,10.00,19.42,11.65,28.16,-0.93,0.15,10.00,20.10,10.53,26.32,-0.85,0.15,10.00,22.01,13.88,30.62,-0.99,0.15,11.00,18.01,9.00,25.12,-1.05,0.17,11.00,14.69,8.06,24.64,-1.14,0.17,11.00,12.80,6.64,22.75,-1.08,0.17,11.00,13.46,7.21,25.48,-1.06,0.16,11.00,13.33,6.67,24.76,-1.11,0.16,11.00,11.43,6.19,20.48,-1.03,0.16,11.00,12.86,8.10,23.81,-0.98,0.16,11.00,13.81,8.57,25.24,-0.91,0.16,11.00,16.19,9.52,28.10,-0.98,0.17,9.00,14.29,10.48,25.71,-0.94,0.16,9.00,16.19,9.52,26.67,-0.95,0.17,9.00,16.98,9.91,26.42
Finland,FIN,1.55,0.28,6.00,94.57,83.70,98.91,1.76,0.27,6.00,97.28,90.22,100.00,1.78,0.23,6.00,97.28,89.67,100.00,1.82,0.23,6.00,98.38,90.81,100.00,1.83,0.20,6.00,99.46,90.27,100.00,1.78,0.21,6.00,99.00,89.05,100.00,1.66,0.17,6.00,99.02,90.69,100.00,1.60,0.22,6.00,94.61,86.27,100.00,1.55,0.23,6.00,93.20,85.44,99.51,1.61,0.24,6.00,94.66,85.92,100.00,1.81,0.22,7.00,98.09,91.87,100.00,1.87,0.24,7.00,99.04,92.34,100.00,1.81,0.23,7.00,97.63,91.00,100.00,1.82,0.23,8.00,98.10,91.00,100.00,1.84,0.22,8.00,98.58,91.00,100.00,1.88,0.23,8.00,98.56,91.83,100.00,1.83,0.22,8.00,98.10,91.90,99.52,1.81,0.23,8.00,96.19,91.43,100.00,1.81,0.22,8.00,96.67,90.95,100.00,1.78,0.22,8.00,96.19,90.48,99.52,1.84,0.22,8.00,97.62,91.43,100.00,1.85,0.23,7.00,99.05,91.43,100.00,1.89,0.23,7.00,99.05,91.43,100.00,1.78,0.23,7.00,97.17,88.68,99.53
Fiji,FJI,0.03,0.36,2.00,57.07,25.54,69.57,0.04,0.39,2.00,53.80,26.63,70.65,-0.32,0.37,2.00,38.59,16.30,63.59,0.15,0.34,2.00,59.46,39.46,70.81,-0.28,0.26,2.00,47.57,24.32,57.84,-0.73,0.30,2.00,22.89,9.45,46.27,-0.40,0.21,2.00,41.67,24.51,51.96,-0.38,0.29,2.00,40.69,20.59,54.90,-0.37,0.33,2.00,39.81,18.93,57.77,-0.70,0.33,2.00,25.24,8.25,50.97,-0.97,0.30,3.00,17.70,6.22,34.45,-0.56,0.31,3.00,32.54,14.35,52.15,-0.45,0.31,3.00,35.07,19.43,54.03,-0.59,0.33,3.00,30.33,12.32,51.66,-0.53,0.33,3.00,32.70,14.69,53.08,-0.26,0.34,3.00,45.67,25.48,63.46,-0.24,0.33,3.00,44.76,24.76,64.29,-0.23,0.36,3.00,44.76,20.95,65.71,0.06,0.39,2.00,57.14,29.52,75.24,0.04,0.39,2.00,57.62,29.52,73.81,0.03,0.39,2.00,57.62,30.00,73.81,-0.10,0.34,3.00,48.57,29.52,65.24,-0.01,0.33,3.00,51.90,32.38,70.95,-0.06,0.31,4.00,50.47,29.72,66.51
France,FRA,1.05,0.28,6.00,81.52,69.02,91.30,0.83,0.27,6.00,74.46,64.67,89.13,0.91,0.23,6.00,78.26,67.39,89.13,0.98,0.23,6.00,79.46,68.65,88.65,1.22,0.20,6.00,85.95,73.51,91.89,1.22,0.21,6.00,85.57,77.61,92.54,1.24,0.17,6.00,85.29,77.94,92.16,1.24,0.21,7.00,86.27,75.98,94.12,1.29,0.22,7.00,86.89,77.18,95.15,1.28,0.23,7.00,87.38,78.16,96.12,1.21,0.22,7.00,85.65,74.64,94.26,1.31,0.24,7.00,86.60,78.47,96.65,1.16,0.22,8.00,84.83,75.83,92.42,1.12,0.23,8.00,83.41,74.41,91.00,1.15,0.22,8.00,85.31,74.88,91.94,1.07,0.23,8.00,81.73,72.60,90.38,1.12,0.22,8.00,82.86,74.76,91.90,1.06,0.23,8.00,82.38,73.33,91.43,1.15,0.22,8.00,83.33,75.71,91.43,1.15,0.22,8.00,83.81,75.24,90.48,1.43,0.22,8.00,90.95,82.38,96.67,1.19,0.23,7.00,85.24,74.76,92.86,1.23,0.23,7.00,85.71,76.67,93.81,1.19,0.23,7.00,85.38,75.94,93.40
"Micronesia, Fed. Sts.",FSM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.45,0.32,1.00,65.17,52.74,78.61,0.38,0.21,2.00,61.76,53.92,71.08,0.38,0.30,2.00,63.24,51.47,75.98,-0.23,0.34,2.00,48.54,21.84,61.17,-0.52,0.28,3.00,33.50,16.99,52.91,-0.65,0.28,3.00,27.27,12.92,46.89,-0.75,0.29,3.00,24.88,9.09,42.58,-0.91,0.23,4.00,20.85,8.53,32.70,-0.95,0.25,4.00,19.43,7.58,31.28,-0.94,0.26,4.00,18.48,7.11,32.23,-1.05,0.29,4.00,14.90,4.33,31.25,-1.00,0.27,4.00,14.29,5.24,32.86,-0.96,0.29,4.00,15.71,5.71,34.29,-1.00,0.29,4.00,13.81,6.19,30.95,-0.92,0.30,4.00,14.29,6.19,35.71,-0.90,0.31,4.00,16.67,6.67,37.14,-0.89,0.34,4.00,16.67,7.14,38.57,-0.71,0.33,4.00,26.19,9.05,46.19,-0.56,0.31,4.00,31.13,13.68,50.47
